author,title,date,station,url,mp3_url,story_id
Олег Дивов,Американцы на Луне,2019-10-18,«Планетарий №1» (СПб),http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1683&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/10/Oleg_Divov_-_Amerikantci_na_Lune.mp3,1683
Льюис Кэрролл,Алиса в стране чудес,2019-12-15,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1684&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/12/Lyuis_Kerroll_-_Alisa_v_strane_chudes.mp3,1684
Дэвид Келлер,Восстание пешеходов,2020-02-07,Культурный Центр ЗИЛ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1687&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/02/Devid_Keller_-_Vosstanie_peshehodov.mp3,1687
Александр Беляев,Невидимый свет,2020-03-14,Иллюзион,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1686&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/03/02_Aleksandr_Belyaev_-_Nevidimiy_svet.mp3,1686
Александр Беляев,Мистер Смех,2020-03-14,Иллюзион,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1685&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/03/01_Aleksandr_Belyaev_-_Mister_Smeh.mp3,1685
Ирина Лазаренко,Мастерица забытого мира,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1682&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/06_Irina_Lazarenko_-_Masteritca_zabitogo_mira_(v_2).mp3,1682
Далия Трускиновская,Ворота,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1681&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/05_Daliya_Truskinovskaya_-_Vorota_(v_2).mp3,1681
Елена Щетинина,Кто убил дракона?,2020-07-25,Поленовский пикник,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1680&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2020/06/04_Elena_Shetinina_-_Kto_ubil_drakona_(v_2).mp3,1680
Джек Макдевитт,"Слушайте, придурки!",2018-01-20,ЦДХ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1656&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/01/01_Dzhek_Makdevitt_-_Slushayte_pridurki.mp3,1656
Николай Немытов,Беспризорники,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1660&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/03_Nikolay_Nemitov_-_Besprizorniki.mp3,1660
Олег Дивов,На три буквы,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1659&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/02_Oleg_Divov_-_Na_tri_bukvi.mp3,1659
Сергей Чекмаев,Неизбежные на море случайности,2018-04-15,Yota Arena,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1658&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/04/01_Sergey_Chekmaev_-_Neizbezhnie_na_more_sluchaynosti.mp3,1658
Леонид Каганов,Лимонная планета,2018-05-11,«Эрарта» (CПб),http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1661&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/05/01_Leonid_Kaganov_-_Limonnaya_planeta.mp3,1661
Андрей Дашков,Плата за проезд,2018-06-23,Летний кинотеатр Московского парка «ФИЛИ»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1663&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/06/02_Andrey_Dashkov_-_Plata_za_proezd.mp3,1663
Томас Лиготти,Сон манекена,2018-06-23,Летний кинотеатр Московского парка «ФИЛИ»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1662&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/06/01_Tomas_Ligotti_-_Son_Manekena.mp3,1662
Майк Гелприн,"Устаревшая модель, одна штука",2018-09-09,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1666&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/09/03_Mayk_Gelprin_-_Ustarevshaya_model_odna_shtuka.mp3,1666
Майк Гелприн,Города на букву Н,2018-09-09,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1665&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/09/02_Mayk_Gelprin_-_Goroda_na_bukvu_N.mp3,1665
Майк Гелприн,Специалист,2018-09-09,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1664&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/09/01_Mayk_Gelprin_-_Spetcialist.mp3,1664
Эльдар Сафин,Нечисть сумрачного Петербурга,2018-10-27,ЛЕНДОК,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1668&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/10/02_Eldar_Safin_-_Nechist_sumrachnogo_Peterburga.mp3,1668
Грэм Мастертон,Подкроватье,2018-10-27,ЛЕНДОК,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1667&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/10/01_Grem_Masterton_-_Podkrovate.mp3,1667
Алексей Евтушенко,Сделка,2019-03-09,ЛЕНДОК,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1671&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/03/03_Aleksey_Evtushenko_-_Sdelka.mp3,1671
Михаил Якубовский,То ли ещё будет!,2019-03-09,ЛЕНДОК,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1670&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2019/03/02_Mihail_Yakubovskiy_-_To_li_eshe_budet.mp3,1670
"Г. Л. Олди, Марина и Сергей Дяченко",Пламенный мотор (Часть 2),2015-01-29,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1652&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/283_GL_Oldi_Marina_i_Sergey_Dyachenko_-_Plamenniy_Motor_(Chast_2).mp3,1652
Сергей Игнатьев,Lux Aeterna,2017-04-16,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1369&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/04/02_Sergej_Ignatev_-_Lux_Aeterna.mp3,1369
Олег Дивов,Занимательная логистика,2017-04-16,Клуб «Aglomerat»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1368&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/04/01_Oleg Divov_-_Zanimatelnaya_logistika.mp3,1368
Сергей Битюцкий,Когда расцветают бомбы,2017-09-30,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1371&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/09/02_Sergey_Bityutckiy_-_Kogda_rastcvetayut_bombi.mp3,1371
Леонид Каганов,Танкетка,2017-09-30,Клуб «Mezzo Forte»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1370&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/09/01_Leonid_Kaganov_-_Tanketka.mp3,1370
Ирина Бакулина,Ренегат,2017-10-29,Клуб «Модуль LOFT»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1653&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/10/03_Irina_Bakulina_-_Renegat.mp3,1653
Михаил Кликин,Дети,2017-10-29,Клуб «Модуль LOFT»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1654&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/10/02_Mihail_Klikin_-_Deti.mp3,1654
Андрей Лазарчук,Мумия,2017-10-29,Клуб «Модуль LOFT»,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1655&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2017/10/01_Andrey_Lazarchuk_-_Mumiya.mp3,1655
Брэд Торгерсен,Луч света,2018-01-20,ЦДХ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1657&filter=0&article=0&posits=0&sortby=20&search=,http://mds.kallisto.ru/hell/2018/01/02_Bred_Torgersen_-_Luch_sveta.mp3,1657
Пол Ди Филиппо,Жизнь в век Карбина,2014-03-23,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1357&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/03/02_Pol_Di_Filippo_-_Zhizn_v_vek_karbina.mp3,1357
Леонид Каганов,Продавец случайных чисел,2014-03-23,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1356&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/03/01_Leonid_Kaganov_-_Prodavetc_sluchajnih_chisel.mp3,1356
Артем Белоглазов,Снова осень,2014-04-21,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1650&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/281_Artem_Beloglazov_-_Snova_osen.mp3,1650
Брюс Стерлинг,Манеки-Неко,2014-05-21,"Выступление на ""PHD""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1360&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/05/02_Bryus_Sterling_-_Maneki-neko.mp3,1360
Мерси Шелли,Хайкай,2014-05-21,"Выступление на ""PHD""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1359&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/05/01_Mersi_Shelli_-_Hajkaj.mp3,1359
"Антон Фарб, Нина Цюрупа",Дивный вкусный мир,2014-06-29,"Кафе ""Рецептор""",http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1361&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell/2014/06/01_Anton_Farb_Nika_Tcyurupa_-_Divnij_vkusnij_mir.mp3,1361
Леонид Каганов,Враг близко,2014-09-28,Культурный Центр ДОМ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1363&filter=0&article=0&posits=50&sortby=20&search=,http://mds.kallisto.ru/hell//2014/09/02_Leonid_Kaganov_-_Vrag_blizko.mp3,1363
