author,title,date,station,url,mp3_url,story_id
Стивен Пайри,Миссис Уилсон и черная магия миссис Везельвул из дома номер шесть,2007-06-25,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1299&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/mcleo/2007.06.25/2007.06.25.2._Stiven_Pairy._Missis_Uilson_i_chernaya_magiya_missis_Vezelvul_iz_doma_nomer_6.mp3,1299
Пол Ди Филиппо,Любой крутой чувак,2007-06-25,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1300&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/mcleo/2007.06.25/2007.06.25.1._Pol_Di_Filippo._Lyboi_krutoi_chuvak.mp3,1300
Сергей Чекмаев,Ночной патруль,2007-07-01,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1378&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/010_Sergey_Chekmaev_-_Nochnoi_patrul.mp3,1378
Джордж Мартин,Послесловие к первому тому,2007-07-02,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1305&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/mcleo/2007.07.02/2007.07.02.3._Dzhordzh_Martin._Posleslovie_k_pervomu_tomu.mp3,1305
Джордж Мартин,Интерлюдия № 5,2007-07-02,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1304&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/mcleo/2007.07.02/2007.07.02.2._Dzhordzh_Martin._Interlyudiya_nomer_5.mp3,1304
Юлий Буркин и Константин Фадеев,Исковерканный мир (Часть 1),2007-05-14,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1286&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/731-Julij_Burkin_Konstantin_Fadeev-01_02-Iskoverkannyj_mir.mp3,1286
Сергей Челяев,Пока святые маршируют,2007-05-15,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1372&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/004_Sergey_Cheliaev_-_Poka_sviatye_marshiruiut.mp3,1372
Юлий Буркин и Константин Фадеев,Исковерканный мир (Часть 2),2007-05-17,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1287&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/732-Julij_Burkin_Konstantin_Fadeev-02_02-Iskoverkannyj_mir.mp3,1287
Дон Тумасонис,Открытки с видами,2007-05-21,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1289&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/734-Don_Tumasonis-Otkrytki_s_vidami.mp3,1289
Чайна Мьевилль,Детали,2007-05-21,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1288&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/733-Chajna_Mevill-Detali.mp3,1288
Андрей Егоров,На вершине мира,2007-05-24,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1373&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/005_Andrei_Egorov_-_Na_vershine_mira.mp3,1373
Клиффорд Саймак,Куш,2007-05-24,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1290&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/735-Klifford_Sajmak-Kush.mp3,1290
Альфред Ван Вогт,Призрак,2007-05-28,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1291&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/736-Alfred_Van_Vogt-Prizrak.mp3,1291
Сергей Туманов,Создатель игрушек,2007-05-31,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1294&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/739-Sergej_Tumanov-Sozdatel_igrushek.mp3,1294
Пол Ди Филиппо,Однажды в Телевизионном Городе,2007-05-31,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1293&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/738-Pol_Di_Filippo-Odnazhdy_v_Televizionnom_Gorode.mp3,1293
Андрей Павлухин,Теледрайв,2007-05-31,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1292&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/737-Andrej_Pavluhin-Teledrajv.mp3,1292
Евгений Гаркушев,Шестое чувство,2007-06-01,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1374&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/006_Evgenii_Garkushev_-_Shestoe_chuvstvo.mp3,1374
Сергей Чекмаев,Прозрачный паровозик с белыми колесами,2007-06-04,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1296&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/741-Sergej_Chekmaev-Prozrachnyj_parovozik_s_belymi_kolesami.mp3,1296
Сергей Чекмаев,Гладиаторы каменных джунглей,2007-06-04,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1295&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/740-Sergej_Chekmaev-Gladiatory_kamennyh_dzhunglej.mp3,1295
Морис Ричардсон,День нашей победы над Марсом,2007-04-23,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1276&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/721-Moris_Richardson-Den_nashej_pobedy_nad_Marsom.mp3,1276
Том Холт,Не та планета,2007-04-23,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1275&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/720-Tom_Holt-Ne_ta_planeta.mp3,1275
Олег Овчинников,Операторы односторонней связи,2007-04-25,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1365&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/001_Oleg_Ovchinnikov_-_Operatory_odnostoronnej_svjazi.mp3,1365
Клиффорд Саймак,"Мир, которого не может быть",2007-04-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1277&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/722-Klifford_Sajmak-Mir_kotorogo_ne_mozhet_byt.mp3,1277
Карлтон Меллик III,Августовское порно,2007-04-30,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1279&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/724-Karlton_Mellik_III-Avgustovskoe_porno.mp3,1279
Андрей Николаев,Интоксикация,2007-04-30,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1366&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/002_Andrej_Nikolaev_-_Intoksikacija.mp3,1366
Бентли Литтл,Мать Майи,2007-04-30,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1278&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/723-Bentli_Littl-Mat_Maji.mp3,1278
Гарри Гаррисон,Немой Милтон,2007-05-03,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1282&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/727-Garri_Garrison-Nemoj_Milton.mp3,1282
Гарри Гаррисон,Уцелевшая планета,2007-05-03,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1281&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/726-Garri_Garrison-Ucelevshaja_planeta.mp3,1281
Гарри Гаррисон,Черное и белое,2007-05-03,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1280&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/725-Garri_Garrison-Chernoe_i_beloe.mp3,1280
Сергей Чекмаев,Ничья,2007-05-07,Подкаст,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1367&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/hell/podcast/003_Sergej_Chekmaev_-_Nich'ja.mp3,1367
Филип К. Дик,Вторая модель (Часть 1),2007-05-07,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1283&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/728-Filip_Dik-01_02-Vtoraja_model.mp3,1283
Уильям Тенн,Снаряд-неудачник,2007-05-09,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1285&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/730-Uiljam_Tenn-Snarjad-neudachnik.mp3,1285
Филип К. Дик,Вторая модель (Часть 2),2007-05-09,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1284&filter=0&article=0&posits=350&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/729-Filip_Dik-02_02-Vtoraja_model.mp3,1284
Колин Дэйвис,Защитники,2007-04-02,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1265&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/710-Kolin_Dejvis-Zaschitniki.mp3,1265
Джордж Мартин,Зверь для Норна,2007-04-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1267&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/712-Dzhordzh_Martin-Zver_dlja_Norna.mp3,1267
Гейл-Нина Андерсон,Глубокое разочарование,2007-04-09,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1270&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/715-Gejl-Nina_Anderson-Glubokoe_razocharovanie.mp3,1270
Том Геренсер,Почти на небесах,2007-04-09,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1269&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/714-Tom_Gerenser-Pochti_na_nebesah.mp3,1269
Рон Гуларт,Замужем за роботом,2007-04-09,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1268&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/713-Ron_Gulart-Zamuzhem_za_robotom.mp3,1268
Мюррей Лейнстер,Одинокая планета,2007-04-12,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1271&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/716-Mjurrej_Lejnster-Odinokaja_planeta.mp3,1271
Алексей Калугин,Кактус,2007-04-16,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1273&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/718-Aleksej_Kalugin-Kaktus.mp3,1273
Пол Макоули,Крысы,2007-04-16,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1272&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/717-Pol_Makouli-Krysy.mp3,1272
Эрик Фрэнк Рассел,Милый дьявол,2007-04-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1274&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/719-Erik_Frenk_Rassel-Milyj_djavol.mp3,1274
Фергюс Гвинплейн Макинтайр,Взрывное дельце,2007-03-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1249&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/694-Fergjus_Gvinplejn_Makintajr-Vzryvnoe_delce.mp3,1249
Вандана Сингх,Дели,2007-03-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1254&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/699-Vandana_Singh-Deli.mp3,1254
Джордж Мартин,Башня из пепла,2007-03-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1253&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/698-Dzhordzh_Martin-Bashnja_iz_pepla.mp3,1253
Михаил Балабин и Олег Бондарев,Ангелы тоже любят,2007-03-12,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1256&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/701-Mihail_Balabin_i_Oleg_Bondarev-Angely_tozhe_ljubjat.mp3,1256
Алексей Пехов,Дождь,2007-03-12,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1255&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/700-Aleksej_Pehov-Dozhd.mp3,1255
Елена Бычкова и Наталья Турчанинова,Призрак в наследство,2007-03-15,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1258&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/703-Elena_Bychkova_i_Natalja_Turchaninova-Prizrak_v_nasledstvo.mp3,1258
Елена Бычкова и Наталья Турчанинова,Снежный тигр,2007-03-15,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1257&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/702-Elena_Bychkova_i_Natalja_Turchaninova-Snezhnyj_tigr.mp3,1257
Сергей Синякин,Монах на краю земли (Часть 1),2007-03-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1261&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/706-Sergej_Sinjakin-01_02-Monah_na_kraju_zemli.mp3,1261
Барингтон Бейли,Подземные путешественники,2007-03-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1260&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/705-Barington_Bejli-Podzemnye_puteshestvenniki.mp3,1260
Гарри Гаррисон,Проникший в скалы,2007-03-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1259&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/704-Garri_Garrison-Pronikshij_v_skaly.mp3,1259
Сергей Синякин,Монах на краю земли (Часть 2),2007-03-22,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1262&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/707-Sergej_Sinjakin-02_02-Monah_na_kraju_zemli.mp3,1262
Джордж Мартин,Ночь «вампиров»,2007-03-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1263&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/708-Dzhordzh_Martin-Noch_vampirov.mp3,1263
Пол Андерсон,Среди варваров,2007-03-29,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1264&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/709-Pol_Anderson-Sredi_varvarov.mp3,1264
Мэри Розенблюм,Внешность обманчива,2007-04-02,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1266&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/711-Meri_Rozenbljum-Vneshnost_obmanchiva.mp3,1266
Брэдли Дентон,Большой секрет Тимми и Томми в День Благодарения,2007-02-22,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1239&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/685-Bredli_Denton-Bolshoj_sekret_Timmi_i_Tommi_v_Den_Blagodarenija.mp3,1239
Лорент Мак-Алистер,Капуцина и волк,2007-02-22,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1238&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/684-Lorent_Mak-Alister-Kapucina_i_volk.mp3,1238
Аллен Стил,Охотник на игрумов,2007-02-22,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1237&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/683-Allen_Stil-Ohotnik_na_igrumov.mp3,1237
Майкл Арсенолт,Самый обычный Хэллоуин,2007-02-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1244&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/689-Majkl_Arsenolt-Samyj_obychnyj_Hellouin.mp3,1244
Джеффри Форд,Пикантный детектив №3,2007-02-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1243&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/688-Dzheffri_Ford-Pikantnyj_detektiv_N3.mp3,1243
Дон Уэбб,"Дневник, найденный в пустой студии",2007-02-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1242&filter=0&article=0&posits=400&sortby=20&search=,"http://mds.kallisto.ru/cothuk/mp3/687-Don_Uebb-Dnevnik,_najdennyj_v_pustoj_studii.mp3",1242
Эрнест Хоган,Койот отправляется в Голливуд,2007-02-26,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1241&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/686-Ernest_Hogan-Kojot_otpravljaetsja_v_Gollivud.mp3,1241
Сборник,Выдержки из публичных выступлений индейских вождей девятнадцатого века,2007-03-01,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1248&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/693-Vyderzhki_iz_publichnyh_vystuplenij_indejskih_vozhdej_devjatnadcatogo_veka.mp3,1248
Роберт Силверберг,Аманда и пришелец,2007-03-01,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1247&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/692-Robert_Silverberg-Amanda_i_prishelec.mp3,1247
Джеффри Форд,Приключение в глубоком космосе N32,2007-03-01,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1246&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/691-Dzheffri_Ford-Prikljuchenie_v_glubokom_kosmose_N32.mp3,1246
Дэвид Лэнгфорд,Контакт иного рода,2007-03-01,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1245&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/690-Dejv_Lengford-Kontakt_inogo_roda.mp3,1245
Фредерик Браун,Первая машина времени,2007-03-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1252&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/697-Frederik_Braun-Pervaja_mashina_vremeni.mp3,1252
Фредерик Браун,А что будет?,2007-03-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1251&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/696-Frederik_Braun-A_chto_budet.mp3,1251
Фредерик Браун,Бесконечная череда отражений,2007-03-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1250&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/695-Frederik_Braun-Beskonechnaja_chereda_otrazhenij.mp3,1250
Александр и Людмила Белаш,Полет яйца через долину,2007-01-25,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1224&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/670-Aleksandr_i_Lyudmila_Belash-Polet_yayca_cherez_dolinu.mp3,1224
Михаил Харитонов,Вариант Омега,2007-01-25,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1223&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/669-Mihail_Haritonov-Variant_Omega.mp3,1223
Алексей Пехов,Особый почтовый (01_02),2007-01-29,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1226&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/672-Aleksey_Pehov-01_02-Osobyy_pochtovyy.mp3,1226
Алексей Пехов,Особый почтовый (02_02),2007-02-01,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1227&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/673-Aleksey_Pehov-02_02-Osobyy_pochtovyy.mp3,1227
Пол Ди Филиппо,Краткий курс любви к живописи,2007-02-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1229&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/675-Pol_Di_Filippo-Kratkij_kurs_ljubvi_k_zhivopisi.mp3,1229
Пол Ди Филиппо,Непокорная книга,2007-02-05,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1228&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/674-Pol_Di_Filippo-Nepokornaja_kniga.mp3,1228
Мишель Демют,Скучная жизнь Себастьяна Сюша,2007-02-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1231&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/677-Mishel_Demjut-Skuchnaja_zhizn_Sebastjana_Sjusha.mp3,1231
Пол Ди Филиппо,Создатели ангелов,2007-02-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1230&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/676-Pol_Di_Filippo-Sozdateli_angelov.mp3,1230
Алексей Пехов,Последняя осень,2007-02-12,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1233&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/679-Aleksej_Pehov-Poslednjaa_osen.mp3,1233
Юрий Нестеренко,Плата,2007-02-12,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1232&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/678-Jurij_Nesterenko-Plata.mp3,1232
Кэйтлин Р. Кирнан,Скачка на белом быке,2007-02-15,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1234&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/680-Kejtlin_R_Kirnan-Skachka_na_belom_byke.mp3,1234
Фредерик Браун,Старые добрые пуги,2007-02-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1236&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/682-Frederik_Braun-Starye_dobrye_pugi.mp3,1236
Фредерик Браун,Eine kleine Nachtmuzik,2007-02-19,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1235&filter=0&article=0&posits=400&sortby=20&search=,http://mds.kallisto.ru/cothuk/mp3/681-Frederik_Braun-Eine_kleine_Nachtmuzik.mp3,1235
Филип К. Дик,Вера наших отцов,2007-01-04,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1215&filter=0&article=0&posits=450&sortby=20&search=,http://mds.kallisto.ru/letande/m-p_philip_k_dick_-_faith_of_our_fathers.mp3,1215
Джейн Линдсколд,Седьмое боевое искусство,2007-01-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1217&filter=0&article=0&posits=450&sortby=20&search=,http://mds.kallisto.ru/letande/m-p_jane_m_lindskold_-_the_seventh_martial_art_nrj.mp3,1217
Пол Ди Филиппо,Святая математика,2007-01-08,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1216&filter=0&article=0&posits=450&sortby=20&search=,http://mds.kallisto.ru/letande/m-p_paul_di_filippo_-_math_takes_a_holiday.mp3,1216
Терри Пратчетт,Море и рыбки,2007-01-11,NRJ,http://www.mds-club.ru/cgi-bin/index.cgi?r=84&lang=rus&sbr=2&user=1218&filter=0&article=0&posits=450&sortby=20&search=,http://mds.kallisto.ru/letande/m-p_terry_pratchett_-_the_sea_and_little_fishes_nrj.mp3,1218
